Cond	19	20	21	24	25	26	28	29	30	32	48	50	52	57	62	64	68	69	01	02	03	04	05	06	07	08	09	10	11	12	14	15	16	22	31	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	49	51	53	54	55	56	58	59	60	63	65	66	67	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
101			-7.3277		14.2578	-2.2563		2.61	-2.4574		4.1367		4.8102	8.2795		0.026742	0.38455		11.0327	4.8256			-3.318	-4.9268			-2.0968	2.2054			-5.4115			-1.7605		4.6709	-10.495		-4.8349	10.5252			-2.5516	3.9995			-1.4027	-0.011541			6.0931		7.0704			3.9618			0.21104		-5.7439			10.3217				-4.5133	-1.0813		9.8864	3.2208		5.4111	3.0204	4.347				7.2135
102	-7.7701	6.7368		15.2966			13.1747			5.3028		3.7376			5.8309			0.97525			-1.4165	2.0718			0.42196	0.8116			7.4938	-0.25248		-4.0344	4.9993		1.7399			1.1562			9.8367	-4.3378			2.4049	0.81277			12.4192	-1.348		0.54804		1.4345			4.3141	5.8055		4.7844		-8.4353	5.1158		-1.0971	5.6164	-1.0636			-24.0269			-1.2424				-3.6013	6.9368	5.417	
103	7.9421	-4.1379			5.4906	15.724	8.007	-4.9065	6.1001		-0.037925	-9.583	5.0454	-4.605	-5.7617	-3.4674	0.065995	2.5193	-1.4168	6.9915	3.768	4.0846	-7.9039	1.5014	5.7419	7.0229	-0.036233	0.50014	-2.4974	-4.5713	10.4049	-0.39354	7.7529	2.389	2.5536	4.2851	-4.3912	2.3633	3.4336	4.571	0.23687	1.4716	6.4852	-4.9869	10.5123	-2.8512	3.4981	5.5488	14.7309	-1.5142	3.5726	1.2081	-5.0772	-5.7581		7.7845	5.5656	2.0032	-18.7344	11.6855	7.9248	4.6971	-0.36794	9.9427	-0.22496	1.3979	3.6044	12.1513	0.72863	-7.3252	8.1823	-2.8407	-0.76635	3.6823	-11.4303	8.3475	3.9927	4.4187	2.1495	-16.1496
104	1.5217	17.5465		48.5576	-3.2249	18.1282	11.7038	-2.639	15.0514	12.5801	4.5333	1.9848	3.0525	15.0874	13.8769	-5.5251	10.2908	-14.3406	11.5849	-0.99023	2.3572	1.6831	2.2762	0.83905	-2.722	3.7626	4.3963	-0.65225	3.0245	5.6446	-3.3082	6.2453	5.1178	5.4952	-1.6064	14.8005	2.3561	-1.4798	4.2573	9.0628	3.747	-3.375	-0.10427	-3.7945	7.6489	4.0638	-1.4826	-0.99248	15.3534	7.1027	3.742	3.2491	-7.2881	2.7779	0.94295	0.096637	-5.2851	-0.12269	0.21465	11.1224	2.2529	0.67084	3.3436	12.5214	-9.7139	3.6965	-0.99106	-10.1987	3.9931	5.6629	11.9803	2.1666	-4.3332	6.7209	28.0887	5.8702	1.9174	11.198	-1.9041	-3.8081
231					1.9146	10.4194		14.8022	-6.6729		7.1252		1.8762	8.7979		-5.5412	1.0407		6.3086	-2.4435			4.328	4.4377			-8.3304	-1.5461			2.4924			-2.054		3.5799	-0.052746		12.4344	8.4958			-0.042138	-2.0334			20.6001	3.728			1.9463		2.0045			-3.2586			-1.2378		9.031			4.1362				14.2476	3.8248		-0.21735	5.5122		2.457	8.1508	-2.7511				0.53775
232	15.3627	2.7664		-39.1703			-8.1128			-31.2488		-0.45645			-0.94177			-11.2068			-1.6366	3.43			2.0097	1.7088			3.9429	6.6952		0.70697	6.276		5.3877			-1.2846			4.8949	6.1736			11.1325	5.5155			8.524	-2.2029		-3.1867		-3.9154			0.60133	1.794		2.5493		-1.2878	-1.2749		6.427	-5.2215	-5.2972			-1.9127			1.1194				8.7073	-6.5252	-0.74018	
233	23.949	-0.97941		-17.1016	8.9177	2.8669	24.4788	12.9536	4.4265		2.8682	4.7532	1.2881	13.2699	-2.646	-0.96134	20.4987	-5.1731	-5.8921	1.2025	-1.3258	0.13681	2.4766	-1.6234	0.98395	1.1356	4.3497	-0.8245	2.5169	-3.431	1.7772	-1.4675	1.0725	-3.0144	0.73335	14.5985	2.0974	-1.1082	0.042406	-0.24308	0.71324	-3.4791	-5.0626	27.6759	6.4383	0.48101	1.3639	-0.48027	10.4137	-3.2163	4.8684	-2.8792	5.3416	-1.6757		-2.2735	-2.5957	1.5009	11.0219	20.6302	7.6585	-3.122	-0.30694	1.0967	-0.46783	-2.463	0.69995	0.61712	0.88794	5.966	-0.96294	8.2301	2.7223	2.3632	43.6516	-8.5436	4.6528	16.1138	-0.029267	16.1635
234	-21.3071	1.81			0.10237	15.6038	-1.2741	-3.3075	7.5336	3.216	12.2259	13.4162	-0.097446	1.0816	4.6394	-8.8241	14.0015	-1.142	4.7811	-0.60789	-6.0207	5.8734	3.6805	0.20449	-2.6897	0.082469	-2.2133	1.1672	-12.7388	-3.9822	1.8252	-0.16314	5.7917	7.452	8.9355	-8.4942	0.94146	-4.8116	2.6709	2.9434	7.362	8.3992	6.5636	-6.4861	3.4586	1.6637	-0.59963	0.1827	-0.02179	-5.6796	1.7538	-0.81424	9.9035	-0.20383	0.54431	-3.2021	9.5192	8.5403	7.0578	0.10103	1.431	-2.5607	-1.6184	5.7532	1.5057	7.2946	-3.1411	2.7008	-0.82409	-6.9968	11.0888	15.6062	2.972	1.6166	2.6831	11.488	7.2222	2.7105	-8.2312	-2.0524
