Cond	19	20	21	24	25	26	28	29	30	32	48	50	52	57	62	64	68	69	01	02	03	04	05	06	07	08	09	10	11	12	14	15	16	22	31	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	49	51	53	54	55	56	58	59	60	63	65	66	67	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
101			-5.9878		15.0736	-2.5484		2.9202	-2.3506		4.6405		5.237	9.0842		0.75996	-0.091375		11.1048	4.8134			-3.6915	-4.4697			-1.9953	2.1512			-5.4894			-1.895		5.0255	-10.3788		-4.6218	10.7116			-2.2824	4.4983			-1.3018	0.0012353			6.5922		7.1735			3.8817			0.35137		-5.7967			11.3973				-4.4146	-1.2383		10.547	3.3508		6.323	3.6594	4.8152				7.4251
102	-8.0184	7.3672		13.2567			12.9825			6.0028		4.0736			6.2065			0.87427			-1.3947	1.8653			0.19145	0.87124			7.7718	-0.092477		-3.3287	5.2744		1.993			1.6435			9.9418	-4.1038			2.7322	1.2536			12.7492	-1.2769		0.69679		1.422			4.8094	6.0909		4.8922		-8.5559	5.2497		-0.93052	5.694	-0.76288			-24.697			-1.3101				-3.3636	7.6445	5.7666	
103	7.4597	-4.1047			5.9681	15.5848	7.8456	-5.2475	6.2781		-0.38721	-9.6481	5.3971	-3.6584	-5.3438	-3.7081	0.51589	2.4853	-1.3692	7.1205	3.6703	4.3411	-8.2838	1.8659	5.7445	7.5184	0.13923	0.27641	-2.4417	-4.397	10.139	-0.2846	7.5348	2.301	2.672	4.4325	-4.6349	2.2348	3.3317	4.393	0.63575	1.9132	6.723	-4.4944	11.0614	-2.5877	3.4885	5.6636	13.9414	-1.5053	3.6903	1.4449	-4.8231	-5.271		7.6791	6.1575	2.3966	-18.518	11.7691	8.2962	4.8303	-0.30024	10.9786	0.14861	1.9272	4.6696	12.3825	0.83269	-7.5918	8.6149	-3.0006	-0.60827	3.6615	-10.6847	8.8556	3.9833	4.5791	2.0498	-15.9693
104	2.1741	17.48		49.3946	-3.2135	18.2428	11.9161	-2.3781	15.0894	13.0967	4.6911	1.9505	3.591	15.647	13.3908	-5.335	10.7361	-13.8928	11.7617	-0.82001	2.41	1.6681	2.6857	1.4483	-3.0033	3.7806	4.5211	-0.60872	3.1009	5.7825	-3.3124	6.4736	4.8527	5.3896	-1.4991	15.1217	2.5354	-1.4675	4.7185	9.0465	3.8536	-3.0221	0.061053	-3.1764	8.2585	4.6467	-1.4109	-1.1714	15.7755	7.4117	3.7003	3.299	-7.0915	2.7984	1.1718	0.29969	-4.6938	-0.049315	0.57674	11.1497	2.2563	0.85642	3.3886	13.2616	-10.0105	4.2918	-0.77093	-9.964	4.0928	5.877	11.9516	1.6341	-4.0683	6.8907	29.2237	6.0488	2.4167	11.3784	-1.8661	-4.3663
231					2.1842	9.9571		14.3483	-6.8209		7.3887		2.2283	8.7457		-5.721	1.6252		5.7813	-2.2435			4.2095	4.4148			-8.2393	-1.6546			2.4526			-2.0026		3.8758	-0.30124		12.2341	8.7581			0.065537	-1.9816			20.9637	3.4119			1.9804		2.2367			-3.1253			-1.2872		8.7774			4.7327				14.3686	4.0627		-0.055671	5.0108		2.7741	8.486	-2.9621				0.58217
232	16.2158	2.6438		-38.3932			-8.0233			-30.8476		-0.84492			-0.71623			-11.3826			-1.7883	3.3915			1.9908	2.291			3.8033	6.4199		0.63854	6.4117		5.6543			-1.1981			4.9374	6.332			12.1843	5.7547			8.8706	-2.1127		-3.2976		-4.0648			0.59351	1.4108		1.7823		-1.2387	-1.2747		6.6502	-5.1342	-5.1016			-2.0797			0.70208				8.9929	-6.621	-0.62454	
233	22.4977	-0.95268		-20.0814	9.0511	2.7988	22.8335	13.024	4.5715		3.198	4.6817	0.9597	12.5807	-2.2153	-1.4484	20.2317	-5.1713	-6.1965	0.92626	-0.98138	0.2449	2.8843	-1.6238	1.3164	0.97677	4.426	-0.77	2.5158	-3.416	1.5779	-1.5126	1.2252	-3.1134	0.64479	15.0963	1.9358	-1.1046	0.023176	-0.32757	0.72998	-3.4755	-5.1418	27.9434	6.8286	0.56794	1.4333	-0.13588	10.5048	-3.0519	4.7679	-2.7838	5.6692	-1.8699		-2.1436	-2.4723	1.7679	11.1373	21.2989	7.5776	-3.2677	-0.22559	1.2504	-0.73883	-2.8225	0.76159	0.28772	0.8548	5.2602	-0.63329	8.3556	2.9222	2.5429	43.4219	-8.2513	4.8676	16.1303	-0.33405	15.6716
234	-19.728	1.9744			0.27862	15.0385	-1.5079	-3.1807	7.7293	3.9026	11.7933	13.3581	-0.43983	1.3121	5.0063	-8.3894	13.4121	-1.0492	4.6858	-0.38834	-6.1039	6.2968	3.4736	-0.451	-2.6839	-0.26832	-2.6243	1.0608	-12.9587	-3.8688	1.5793	0.1359	5.6465	7.8602	8.7266	-8.5957	1.3393	-4.8711	2.7549	3.1447	7.9943	8.3236	6.6025	-6.1062	3.8141	1.9183	-0.89129	0.40904	0.19023	-5.3351	1.5841	-0.80456	9.793	-0.47837	0.66083	-2.9997	9.8604	8.3126	7.3256	0.47898	1.4089	-2.6809	-1.493	6.4495	1.7465	7.3706	-3.0124	2.5935	-0.85886	-6.8179	11.0064	15.4328	2.7568	1.8736	2.4124	11.9214	7.599	2.9237	-8.0606	-1.8972
