Parameter,Component,Mean,SD,CI,CI_low,CI_high,Rhat,ESS
b_Intercept,conditional,2.2,1.34,0.95,-0.44,4.82,1,122466.64
b_TestSpeaker1,conditional,2.89,2.12,0.95,-1.27,7.06,1,114669.25
b_TestSpeaker2,conditional,-3.83,1.55,0.95,-6.86,-0.77,1,186713.83
b_mumDist,conditional,-0.03,0.86,0.95,-1.74,1.64,1,122286.99
b_nrSpeakersDaily,conditional,0.79,0.72,0.95,-0.63,2.2,1,163435.13
b_sleepState1,conditional,-2.74,2.68,0.95,-7.96,2.53,1,130943.7
b_age,conditional,0.82,0.81,0.95,-0.76,2.42,1,125587.41
sigma,sigma,5.57,0.94,0.95,3.53,7.34,1,6787.81
