Cond	19	20	21	24	25	26	28	29	30	32	48	50	52	57	62	64	68	69	01	02	03	04	05	06	07	08	09	10	11	12	14	15	16	22	31	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	49	51	53	54	55	56	58	59	60	63	65	66	67	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
101					10.8569	-2.6155			0.58166		5.5828		5.045	12.4608		-1.6911	1.0307		13.2152	6.4708			-4.7998	-2.6339			-0.81503	2.2037			-7.4749			-1.1468		10.3178	-10.42		-4.6669	11.2611			-0.98821	2.8166				5.2473			5.5794		9.8517			3.4454			1.5077		-4.5498			13.2126				-5.0567	-0.89948		10.6141	-14.4511		1.0524		5.8096				6.2438
102		9.0875					7.5179					2.8561									-2.7211	0.83869			0.16358	-1.2785			1.7184	-3.1859		-5.5235	6.2959		-0.37238			2.4391			13.4176	-4.2174			4.7591	6.2451			8.1711	-0.68114		1.8488		1.243			3.7783					-1.4649	7.3277		-1.4634	6.1581	0.60808			-22.8195			-3.3041				-1.3744	7.947		
103		-3.4713			8.903	16.0905			9.4826		3.6797		6.1947	-2.4762	-14.8705	-4.6975	-0.75424	-1.079	-0.55064	12.4509	3.1399	2.3891	-7.2152	4.0922	6.2669	9.6658	-2.4947	0.18481	-0.17187	-7.2922	10.6105	2.1781	8.1212	1.737	2.1246	0.65439	-4.0978	2.2956	3.7499	5.32	2.119	1.3912	7.864	-7.2897	14.5571	1.0692	2.5298	9.1653	13.0523	-0.94503	5.9205	5.541	-2.1807	-6.3489		7.8153	7.2002		-11.7811		10.9061	8.8752	1.9841	12.473	0.54814	1.6392	2.7789	11.0621	2.3072	-1.1243	7.4382	-11.1187	-1.8457	0.78176		9.4259	10.2093	10.4709		-12.6666
104		16.0018			-6.6695		11.7955		13.9449	18.1899	11.9884	3.6108	3.9388	14.5938		-6.3323	9.1576	-9.4578	14.7052	0.085759	-0.108	3.0436	-1.4029	-0.05697	-4.6316	4.7579	2.1149	-2.0303		0.092538	-2.4853	9.0469	5.6058	9.0776	-0.00029732	14.1132	1.4193	-0.26153	4.6829	8.5746	4.4443	-3.8196	1.5419	-2.8136	11.3514	3.1269	-5.6379	4.3973	7.3019	8.0903	5.4572	5.8332	-7.5581	1.9079	0.99691	-2.3102	-7.5484		1.7763		3.9523	2.2792	5.8425	12.5861	-7.2985	4.1123	-0.80356	-8.7976	9.101	8.1017	16.3862	5.7745	-4.9495	3.4144	25.445	4.4636	4.7296	11.384		-3.8698
221					11.904	-10.3336			6.2257		2.3288		12.4598	11.7635		1.3956	-4.3044		4.9428	5.7672			-7.749	0.18481			7.2184	-2.0091			-0.95097			0.4964		7.5903	2.5523		-3.4823	11.5483			5.1805	3.9914				2.3217			7.8344		4.3328			2.3025			5.129		8.1909			5.7108				1.138	1.7821		10.7688	-15.3443		3.3		-3.9693				1.7337
222		7.4564					13.5027					10.0786									-6.9525	4.1284			0.64752	1.1766			-6.4177	-0.2994		3.5739	2.357		4.7514			-0.32207			1.7143	6.6636			-0.64895	-3.4883			6.8739	1.1588		-6.9417		1.2719			4.1997					1.033	4.4545		1.8672	-4.6946	-1.4039			-15.7916			-1.9098				-3.0632	7.0083		
223		-21.0287			-0.6548	-5.9115			-2.437		5.5727		5.775	-4.3798	-11.4914	4.1697	5.7351	-4.0445	3.9307	2.2162	3.6014	5.0633	-5.7289	5.1473	-1.2899	10.4475	7.7317	4.2611	-8.7326	1.5158	-0.71096	2.6252	7.1246	10.0767	2.2415	10.4571	2.1471	-0.68597	-2.9476	0.72543	2.7658	-2.5751	-5.8615	4.677	3.7154	1.034	5.2744	-1.0546	-2.1128	1.4821	6.4559	0.76074	-2.4949	0.021288		-5.8013	6.3029		-23.1547		1.4961	-3.1215	-4.1299	5.1588	10.5562	-5.2998	2.0269	9.4512	12.4133	9.2641	4.5417	-7.6054	5.7185	1.4543		21.0576	18.505	4.2845		-5.2592
224		24.6029			6.0546		13.6572		2.3876	2.3231	-4.1636	8.3548	5.2834	8.0415		-3.7902	12.8233	-2.8854	-6.3842	3.3418	0.42858	6.5733	-4.4865	0.54425	-2.8359	15.3619	8.9592	0.16835		-0.63224	3.4794	4.4227	1.3213	3.3358	-4.2237	9.2789	0.19616	-2.0415	-1.3296	1.6549	10.5852	1.1763	-6.7183	-7.4332	9.9936	1.6388	0.23759	3.1059	9.3976	7.4107	-7.8829	0.75637	-11.318	-3.6443	-4.1044	-5.8808	13.2714		9.2643		1.3736	-1.3383	-0.45015	2.7264	0.82574	5.9786	1.3932	-6.8768	-0.75197	-5.2194	3.7971	-6.0247	-2.9224	3.3752	15.2321	7.269	-3.5165	13.6634		-2.042
231					2.8708	6.3254			-2.9326		8.0256		3.0167	9.4163		-6.9256	3.1952		8.1381	6.8082			5.2255	5.1028			-15.7485	-3.0295			4.1449			-0.62373		2.1294	-0.36675		12.9331	7.8355			-1.1388	-0.80861				7.5609			2.439		2.6763			-4.5233			1.0117		4.4895			5.0815				12.9192	5.0415		1.4081	-4.5699		0.12418		-4.3459				2.2474
232		1.8277					-7.6673					-0.70311									-0.82458	4.1354			2.5403	3.3516			0.75513	5.1355		0.54296	7.3		4.7987			-2.5449			2.3518	4.8335			11.8308	9.2203			-3.1937	-1.4583		-2.0311		-6.7973			-1.753					5.0566	1.3703		9.032	-5.3584	-4.5791			-1.6928			-1.9347				11.7371	-4.0578		
233		-1.5188			8.0745	2.3402			4.6135		-0.57198		1.1763	15.56	-1.4139	-0.28044	19.865	-2.0914	-6.8161	-7.4929	-2.5447	-0.19543	2.1492	-1.9848	0.24604	-2.2463	0.51071	0.18413	3.8309	-3.9966	1.4481	0.3344	1.675	-6.3796	1.9298	12.1062	2.7589	0.84111	-2.9224	-1.0187	2.9366	-2.7535	-4.0134	29.1145	7.2206	-1.3637	0.56715	-0.43463	-0.17822	-3.129	4.8137	-2.2701	3.5031	-1.3897		-5.644	-3.9135		11.6744		3.7306	1.0404	0.95018	-1.3201	0.50834	-2.2351	0.12112	1.9111	1.2068	7.3425	-2.2329	9.5502	1.5986	2.6104		-6.8343	6.5879	18.4802		12.8598
