Cond	01	02	04	05	06	07	08	09	10	11	12	13	15
101	8.388	8.8839		7.1295	5.2009			12.3373	9.2415			13.2419	
102			2.7132			4.8444	4.6469			1.9788	-61.1565		27.6227
103	0.51061	1.6688	-13.8315	20.0959	6.5218	42.6515	4.5745	3.6571	4.8646	2.8314	-7.8518	0.49786	-6.3263
104	12.3015	0.99031	8.7088	50.6108	1.3901	11.8622	1.739	0.66391	13.2583	7.6202	-5.6233	7.5416	27.6703
231	-1.9025	-5.2769		-2.0126	-3.2673			-2.3085	0.33749			5.8129	
232			7.0818			19.9985	4.872			4.208	-57.0775		-3.7211
233	4.7503	0.0082804	-23.576	20.7539	2.6889	-2.6915	-4.5302	1.0501	-3.2445	-4.0129	8.4668	-4.4053	20.9652
234	15.7192	2.3543	8.3105	10.8569	-3.7544	19.451	-3.3585	-1.1984	7.5354	-17.7393	35.0685	2.5846	14.0857
